cgpa,coding_score,dsa_score,projects_count,project_complexity,internships,communication_score,mock_interview_score,resume_score,certifications,aptitude_score,technical_score,skill_match_score,ats_score,github_score,backlogs,college_tier,placement_ready
5.98,23,27,3,High,0,47,41,39,0,49,28,36,29,13,1,2,0
7.0,59,31,2,Medium,3,77,52,67,2,46,37,17,41,21,1,2,0
9.39,69,45,2,Medium,1,67,44,73,2,56,65,15,61,39,0,1,1
5.93,53,35,4,High,1,45,35,82,3,54,52,59,49,34,1,3,0
6.2,59,24,2,High,0,31,41,37,2,44,43,28,50,25,3,1,0
7.91,61,35,2,High,1,65,55,55,0,46,44,55,49,0,1,3,0
6.23,49,22,2,Medium,1,68,63,49,1,41,30,34,37,57,0,2,0
8.48,50,33,1,Low,3,89,32,55,1,66,58,24,49,46,1,3,1
7.67,47,26,0,Low,3,25,34,52,4,34,34,43,23,25,0,1,0
9.07,78,35,2,Medium,3,64,57,77,0,56,51,45,70,28,1,2,1
6.59,66,81,5,High,0,78,53,51,2,60,40,27,57,41,2,2,1
6.79,47,56,4,Medium,3,54,44,77,0,46,47,22,60,35,1,1,0
8.92,64,38,3,Medium,1,33,37,48,1,62,49,19,15,53,0,3,0
5.44,31,30,5,High,2,45,18,89,1,55,20,29,65,35,0,3,0
8.98,77,65,0,Low,0,62,56,33,2,70,50,36,48,67,3,1,1
6.05,54,60,0,Low,1,53,50,48,3,39,40,38,55,0,1,2,0
5.47,66,38,3,Medium,3,67,50,74,1,40,47,42,40,33,1,3,0
7.72,45,52,0,Low,3,85,61,65,2,64,43,21,53,46,0,3,0
8.35,55,35,1,Low,1,54,40,48,1,68,48,18,52,14,3,2,1
7.01,54,22,1,Low,2,83,57,51,0,48,28,73,52,56,0,1,0
7.7,63,59,3,Low,0,59,28,49,2,52,41,41,27,74,0,1,1
5.61,41,53,3,Low,1,68,68,57,5,46,53,64,60,48,3,2,0
8.29,49,78,2,Medium,1,59,39,48,3,72,63,60,57,42,3,1,1
8.47,71,36,2,Medium,0,68,47,58,2,70,68,48,47,33,0,2,1
7.33,62,58,2,Medium,0,71,47,50,3,59,59,50,33,42,0,2,1
9.51,56,38,0,Low,0,73,37,22,0,49,58,47,39,6,0,2,1
6.98,68,64,2,Low,1,62,36,45,3,46,39,71,41,25,0,1,1
8.44,74,34,4,Medium,0,25,42,33,0,54,58,64,44,30,0,2,1
8.7,63,30,4,Medium,1,72,53,61,2,75,45,31,60,39,3,1,1
7.65,56,32,5,Medium,1,26,37,78,0,50,34,42,40,25,0,2,0
8.16,65,51,1,Medium,1,51,45,45,2,70,62,61,54,44,0,2,1
7.16,42,24,3,High,1,25,28,68,2,43,50,19,42,42,3,1,0
6.69,50,49,2,Low,1,92,38,62,5,42,40,44,47,15,1,3,1
7.03,26,38,1,Low,1,69,30,55,1,55,54,51,52,18,0,2,0
6.42,59,55,1,Low,1,56,47,51,3,65,56,32,32,27,2,3,1
7.41,35,53,2,Medium,1,87,38,35,0,49,27,16,15,24,0,2,0
7.29,71,60,1,Medium,2,71,58,48,0,20,33,60,29,56,0,2,1
7.32,49,21,1,Low,0,64,42,66,2,32,51,34,60,47,0,3,0
7.99,55,63,2,High,0,69,45,79,4,58,51,27,48,46,2,1,1
8.36,52,32,1,Low,1,55,44,49,0,39,50,54,51,39,3,1,0
7.52,51,54,4,High,1,39,42,60,0,42,20,40,42,2,0,2,1
7.71,73,79,1,Low,2,79,66,59,1,53,60,53,38,22,0,2,1
5.59,20,25,1,Low,0,60,54,47,2,20,20,35,45,0,0,2,0
5.79,60,24,3,Low,1,30,48,63,2,39,29,55,56,43,0,3,0
8.47,64,36,3,Low,0,71,34,53,0,43,49,44,42,12,0,1,0
8.85,48,58,1,Medium,1,62,29,50,1,41,54,70,54,35,1,3,0
7.51,42,31,2,Medium,0,92,46,50,3,42,65,65,39,30,0,2,1
6.62,69,54,3,Medium,2,66,43,57,2,35,52,18,49,2,0,2,1
9.05,52,52,2,Low,3,40,42,76,4,65,41,22,62,9,0,3,1
6.51,35,39,3,Low,1,29,33,69,1,61,31,15,51,41,2,1,1
7.17,66,55,3,Medium,2,84,50,75,3,46,63,45,52,53,0,3,1
5.79,48,35,3,Medium,1,60,56,63,1,36,27,15,41,11,0,1,0
8.8,51,36,2,High,3,46,56,74,3,54,54,29,66,9,3,1,0
8.15,61,60,5,Medium,2,49,22,67,1,42,51,61,69,0,3,2,1
9.11,52,49,3,Medium,0,85,34,49,1,45,46,15,53,60,0,2,1
6.0,59,42,4,High,1,70,62,53,1,25,23,37,34,36,0,2,0
5.53,55,59,1,Medium,1,81,61,42,3,26,36,39,28,70,0,1,0
6.28,54,40,0,Low,0,66,52,52,2,65,34,35,42,28,1,1,1
8.64,66,38,3,Low,0,46,45,50,2,49,45,46,47,45,2,1,0
7.84,78,48,2,Medium,2,94,63,57,2,20,61,21,38,64,3,2,1
8.92,63,34,2,Medium,2,54,52,81,1,52,66,37,52,70,2,3,1
5.25,27,19,1,Medium,2,76,40,77,4,22,27,47,70,26,2,2,0
7.72,61,66,5,High,3,81,69,95,4,54,44,24,58,36,0,3,1
8.19,84,51,3,Medium,2,62,49,69,0,55,82,88,53,50,2,2,1
6.19,34,31,1,Low,0,41,31,41,2,46,28,15,19,0,2,1,0
8.01,53,32,6,Medium,0,49,51,65,2,54,34,15,44,24,0,3,0
6.91,56,40,2,Medium,0,74,51,63,4,45,54,29,75,34,0,3,1
7.52,54,20,0,Low,0,71,55,42,4,35,47,57,33,60,0,3,0
8.17,47,34,5,High,0,85,57,64,1,54,38,27,41,19,1,2,1
9.12,78,56,0,Low,1,82,55,62,3,72,66,61,78,68,1,2,1
7.16,80,69,2,Medium,2,44,37,76,2,72,71,59,55,46,0,1,1
6.6,51,44,3,Low,2,87,42,69,3,45,46,38,55,55,0,3,1
6.94,40,15,2,Low,1,43,20,55,0,48,44,53,67,37,0,2,0
9.33,47,54,2,Low,2,72,23,52,2,67,42,47,35,40,1,3,1
5.8,47,41,7,High,1,100,66,93,2,61,53,22,55,47,0,3,0
5.59,56,47,2,Medium,2,67,24,75,4,37,44,36,48,50,0,3,0
7.73,62,48,5,Medium,1,29,60,72,0,61,48,70,46,58,0,3,1
5.46,42,26,3,Medium,0,56,32,56,3,32,32,36,59,67,0,3,0
6.69,43,38,3,Medium,2,100,48,100,6,52,40,15,53,58,2,2,1
7.41,41,40,2,Low,1,58,20,43,1,63,27,15,22,33,1,2,1
6.63,59,20,2,Low,1,85,58,73,3,32,36,52,52,26,0,1,0
8.31,70,45,2,Medium,0,44,43,33,1,50,55,60,48,49,1,3,1
8.4,41,29,5,High,1,55,38,86,3,68,29,16,53,0,3,2,1
6.81,69,57,2,Low,3,58,40,76,1,56,48,58,52,57,0,3,1
6.47,55,61,5,High,0,97,61,72,3,59,78,74,67,11,3,3,1
9.78,85,52,5,Low,2,56,45,78,2,74,56,77,75,73,1,3,1
6.16,30,18,2,High,0,28,26,59,4,41,27,49,48,57,0,1,0
9.33,49,31,3,High,1,100,60,67,2,88,45,46,49,0,1,3,1
9.28,63,37,4,Low,0,66,67,83,2,63,53,43,69,36,0,1,0
5.0,46,31,3,Low,2,73,54,57,1,20,24,24,38,6,0,3,0
7.53,76,69,2,Medium,0,33,46,35,0,49,54,51,53,11,1,2,1
8.67,70,38,6,Medium,1,66,52,81,1,52,46,33,47,39,1,3,1
8.9,60,53,1,Low,0,62,51,44,3,69,68,44,32,48,1,2,1
5.61,31,10,3,High,0,44,39,50,1,37,32,46,34,33,3,3,0
6.51,63,40,3,Low,2,74,43,88,3,60,42,18,52,40,0,2,1
8.61,50,35,3,Low,0,31,45,22,2,64,59,19,21,0,3,3,1
8.87,82,87,2,Low,0,44,39,42,2,47,48,64,31,51,2,2,1
6.95,48,34,5,Low,0,83,54,51,3,48,24,26,39,0,1,3,0
8.74,81,28,2,Medium,1,48,58,47,3,49,60,26,41,20,0,2,0
6.09,54,12,1,Low,1,53,34,84,3,47,68,46,46,12,1,3,0
6.2,45,37,2,Medium,0,63,23,49,0,36,20,25,31,47,0,2,0
8.52,54,52,1,Medium,0,55,39,51,1,58,33,30,45,43,3,2,1
6.38,44,41,0,Low,1,74,15,37,0,43,48,47,26,32,0,3,0
9.15,70,56,3,Medium,0,65,50,65,2,58,49,27,42,24,0,3,1
6.74,51,58,3,Medium,2,34,20,46,1,73,59,43,51,22,0,3,1
7.37,47,29,4,Medium,2,48,75,100,5,47,32,30,81,0,0,3,0
6.58,47,51,1,Low,1,46,50,46,3,24,37,35,42,55,1,2,0
7.68,57,20,3,High,0,53,44,49,2,65,73,23,34,78,3,2,1
5.31,20,10,3,Medium,1,64,48,70,2,53,20,15,39,23,1,2,0
6.04,51,13,0,Low,2,67,53,53,1,21,49,40,52,45,3,2,0
6.14,35,25,1,Medium,1,25,15,49,1,37,41,39,52,17,0,2,0
8.24,45,35,4,Medium,2,80,39,57,1,61,27,58,39,0,0,3,1
7.12,32,29,1,Low,1,60,48,45,0,56,44,43,49,2,3,2,1
8.6,40,33,2,Medium,1,41,21,73,3,57,42,40,47,14,0,2,0
5.34,25,10,3,Low,0,79,43,61,5,41,30,43,39,7,0,3,0
9.45,58,42,1,Medium,1,25,43,63,1,50,53,39,46,22,0,2,1
8.59,84,41,3,High,0,33,45,49,3,29,51,77,62,51,0,2,0
8.56,55,63,2,Low,2,100,58,66,2,82,57,60,59,15,0,1,1
5.55,45,31,5,High,2,64,52,100,2,31,39,28,66,70,1,3,0
5.72,49,31,1,Low,2,48,48,43,0,45,51,68,50,2,3,2,0
5.04,41,57,1,Medium,1,63,45,56,0,38,20,34,47,42,3,3,0
9.36,65,31,5,High,0,58,48,87,1,72,74,86,73,33,1,2,1
8.25,45,19,0,Low,0,62,48,44,3,57,30,36,44,36,0,2,0
7.14,70,37,2,Medium,1,70,29,55,3,52,64,43,38,52,0,2,1
7.8,78,58,2,Medium,2,58,71,56,2,22,51,39,51,49,0,3,1
7.98,37,37,3,Low,1,68,38,79,2,44,21,20,59,0,0,3,0
6.52,36,41,1,Medium,0,59,28,55,1,56,46,24,46,14,0,2,1
7.67,52,79,4,Medium,3,47,47,100,3,61,37,55,79,34,0,1,1
8.56,49,10,4,High,3,42,44,85,2,46,56,40,64,31,2,2,1
6.51,55,52,2,Medium,1,85,40,66,1,28,32,15,54,12,0,2,1
9.09,55,35,2,Low,1,73,49,53,1,61,32,39,20,58,2,3,1
6.47,74,48,2,Medium,2,80,59,55,2,20,66,56,57,0,0,2,1
8.6,75,48,2,Medium,1,62,53,83,5,44,57,45,79,39,1,1,1
9.13,67,38,5,High,3,66,71,100,2,81,73,57,65,21,0,3,1
7.6,67,77,4,Low,0,58,48,49,2,70,49,45,35,43,3,2,1
9.11,77,71,0,Low,1,82,58,33,2,66,40,57,51,66,1,3,1
9.48,60,47,3,Low,1,55,37,76,5,66,74,59,51,7,1,3,1
5.33,32,47,3,Medium,2,44,21,75,0,20,26,31,45,66,3,1,0
8.81,63,26,2,Low,2,71,56,48,1,50,57,27,38,41,1,1,1
8.96,74,36,2,Low,3,59,46,72,1,56,66,86,58,52,3,1,1
8.45,62,15,3,High,1,66,47,48,0,48,46,20,43,8,0,3,0
7.58,36,19,6,Medium,2,74,43,100,3,48,40,29,55,20,0,3,0
8.36,50,42,1,Low,1,51,41,38,1,72,70,29,36,49,0,1,1
6.55,48,40,0,Low,1,58,43,59,3,41,40,42,49,32,1,3,0
6.86,50,42,1,Low,0,56,43,38,1,45,54,43,53,32,0,3,1
5.62,67,30,1,High,2,85,64,48,2,51,29,37,51,39,0,1,0
8.58,44,47,0,Low,3,62,72,58,1,40,52,60,46,0,0,2,0
7.55,61,51,1,Medium,0,64,63,32,5,42,29,54,24,8,1,3,1
8.83,80,71,4,High,0,41,44,51,1,50,72,53,54,71,0,2,1
9.54,94,42,1,Medium,2,75,79,76,5,63,75,77,59,74,0,3,1
5.77,39,36,6,High,1,69,28,52,0,39,35,54,43,44,0,3,0
7.85,62,30,1,Low,3,46,36,37,2,50,49,61,31,20,0,1,0
6.9,58,39,2,High,0,96,65,20,1,41,43,39,33,31,0,3,0
7.91,59,54,3,High,0,68,57,71,2,41,36,15,38,60,1,1,1
7.13,51,42,0,Low,1,50,47,41,1,57,45,43,38,6,0,3,1
5.92,50,27,6,High,0,61,36,67,2,40,68,55,54,52,1,2,0
8.94,33,28,4,Low,0,55,27,73,2,67,57,23,50,8,0,3,1
8.51,69,30,1,Low,0,89,60,35,1,44,42,45,42,24,0,3,0
7.14,54,60,2,Low,0,78,46,53,2,42,47,39,40,31,0,2,1
9.12,62,45,7,High,0,70,61,92,5,57,54,66,63,14,1,2,1
7.75,81,78,2,Medium,3,92,61,84,6,52,59,82,53,10,0,2,1
8.16,50,32,2,Low,0,43,34,53,2,64,37,53,48,31,0,3,0
9.5,62,40,5,High,1,75,32,89,3,57,58,45,61,47,1,2,1
5.67,67,40,4,High,2,71,63,75,2,52,64,68,55,64,1,3,1
9.0,54,55,1,Low,1,57,47,54,4,64,41,48,47,44,2,3,1
6.37,41,23,4,Medium,1,57,15,73,4,45,62,38,61,63,3,2,1
7.31,52,51,2,Medium,1,78,54,30,2,40,61,75,53,58,3,3,1
5.45,52,35,5,Medium,2,77,44,83,1,51,52,30,40,45,0,2,0
8.51,63,19,2,Low,2,36,50,51,2,46,35,49,41,47,1,3,0
8.12,43,26,1,Low,1,94,49,59,2,55,47,48,58,50,0,2,1
7.91,51,23,0,Medium,2,82,40,48,1,53,49,35,55,0,0,2,0
5.63,36,30,2,High,1,56,56,67,4,40,41,40,42,11,0,1,0
8.19,58,27,1,Medium,0,47,61,52,2,51,68,62,63,0,1,3,1
8.33,65,64,1,Medium,2,81,53,40,0,46,49,49,26,52,0,2,1
6.12,51,39,1,Medium,1,70,50,60,3,26,62,51,61,15,0,2,0
7.95,36,27,3,Medium,2,74,36,71,1,71,49,35,48,81,0,2,1
7.79,69,63,6,High,0,72,33,79,4,48,50,59,77,31,3,2,1
7.15,55,57,2,High,1,83,67,46,2,49,75,46,37,35,0,2,1
8.09,75,57,0,Medium,3,77,48,77,4,53,68,50,55,36,1,3,1
8.2,64,38,1,Medium,0,52,61,64,5,69,52,46,49,28,2,1,1
8.38,73,29,2,Low,3,51,57,75,2,80,66,71,48,18,1,2,1
6.38,53,31,5,Medium,3,68,50,71,0,48,53,15,27,6,3,2,0
7.63,71,45,4,Medium,2,100,62,79,4,51,53,35,60,0,3,2,1
8.41,66,52,1,Low,1,59,57,47,1,43,52,81,62,50,3,2,1
7.74,55,38,2,High,1,68,36,70,3,36,33,41,58,24,0,3,0
7.85,84,74,4,Low,2,78,78,62,3,32,36,43,36,89,1,1,1
7.18,63,39,3,High,2,54,48,61,1,41,50,57,57,12,0,2,0
8.07,65,49,2,Low,1,76,71,61,4,30,48,33,35,68,0,2,1
6.61,34,46,2,High,3,62,35,77,3,60,46,15,52,51,3,2,1
5.65,28,29,2,Low,1,84,43,38,1,48,26,29,44,42,0,2,0
8.32,63,48,0,Medium,3,44,46,55,1,53,36,30,45,42,0,3,1
7.58,57,35,5,High,0,100,64,72,4,66,41,41,67,27,0,3,0
6.55,41,24,3,Medium,0,56,59,35,0,34,48,40,33,50,0,2,0
6.83,52,28,3,Low,1,71,41,62,2,39,34,38,45,15,1,2,0
6.0,65,42,2,Low,1,62,48,47,1,21,38,16,33,44,0,3,1
8.39,68,63,5,High,2,42,44,85,1,66,55,49,48,39,1,3,1
5.26,27,20,2,Medium,0,76,15,43,3,31,20,28,30,0,1,2,0
8.7,60,26,2,Medium,3,57,39,83,4,58,44,21,49,41,0,1,1
9.13,55,70,2,High,0,71,42,36,1,72,43,17,25,47,3,2,1
5.88,40,37,0,Low,1,47,66,38,2,60,59,22,33,5,0,2,1
9.5,62,27,3,Low,0,57,50,51,0,62,62,59,33,46,0,2,1
8.46,55,36,4,Medium,1,56,49,72,2,61,65,16,34,0,1,3,1
5.49,27,25,1,Low,0,71,19,38,2,31,45,41,47,0,0,2,0
8.28,58,71,4,Medium,0,67,47,62,3,76,28,42,28,25,3,2,1
9.59,60,30,3,Medium,1,58,57,42,1,60,57,42,44,43,3,3,1
6.43,20,33,2,Medium,0,55,59,62,1,48,22,15,36,29,1,1,0
9.15,89,88,5,Medium,0,67,52,76,2,55,79,52,60,55,0,1,1
8.29,72,45,3,Low,2,65,31,71,0,70,53,61,74,54,0,2,1
6.78,46,33,2,Medium,0,64,33,26,1,51,30,51,31,24,3,1,0
9.7,68,37,4,Medium,1,97,52,74,5,72,43,29,56,48,0,3,1
8.3,45,33,2,Medium,0,71,35,45,2,60,41,52,43,34,0,2,0
6.38,68,52,2,Low,0,96,71,30,3,44,63,61,37,30,3,3,1
6.64,72,65,3,Medium,1,60,55,78,3,59,61,51,56,36,0,3,1
7.88,59,62,5,Medium,0,61,33,89,3,58,37,28,64,47,0,2,1
8.91,75,46,2,Medium,2,52,67,90,2,48,82,50,57,81,0,2,1
8.88,65,20,2,Medium,2,67,73,57,3,47,59,76,44,63,0,2,1
7.77,40,32,2,Low,0,56,17,51,2,55,50,38,42,1,0,3,1
9.53,62,52,4,High,3,53,59,100,2,73,73,71,78,14,0,1,1
8.72,63,52,4,Medium,0,27,36,62,3,78,40,45,31,27,1,2,1
